"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"121","11/05/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181288"", ""K181288"")","Athelas One","Athelas Inc.","Hematology","GKZ"
"122","11/06/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181939"", ""K181939"")","icobrain","icometrix NV","Radiology","LLZ"
"123","11/16/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180343"", ""K180343"")","LensHooke X1 Pro Semen Quality Analyzer, LensHooke X1 Semen Quality Analyzer","Bonraybio Co., Ltd.","Hematology","POV"
"124","11/19/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180432"", ""K180432"")","AI-ECG Platform","Shenzhen Carewell Electronics., Ltd.","Cardiovascular","DQK"
"125","11/20/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181247"", ""K181247"")","Vitrea CT Brain Perfusion","Vital Images, Inc.","Radiology","LLZ"
"126","11/21/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181704"", ""K181704"")","Transpara","Screenpoint Medical Bv","Radiology","QDQ"
"127","11/29/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182181"", ""K182181"")","Persyst 14 EEG Review And Analysis Software","Persyst Development Corporation","Neurology","OMB"
"128","11/30/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182218"", ""K182218"")","FerriSmart Analysis System","Resonance Health Analysis Service Pty Ltd.","Radiology","PCS"
"129","11/30/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182336"", ""K182336"")","SubtlePET","Subtle Medical, Inc.","Radiology","KPS"
"130","12/06/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K173749"", ""K173749"")","AMRA Profiler","AMRA Medical AB","Radiology","LNH"
"131","12/06/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182373"", ""K182373"")","PowerLook Tomo Detection V2 Software","ICAD Inc.","Radiology","QDQ"
"132","12/06/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182035"", ""K182035"")","FFRct v2.18","HeartFlow, Inc.","Cardiovascular","PJA"
"133","12/14/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182419"", ""K182419"")","Centricity Universal Viewer","GE Healthcare","Radiology","LLZ"
"134","12/14/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182790"", ""K182790"")","Cardio-TriTest v6.5","Cardio-Phoenix Inc.","Cardiovascular","DPS"
"135","12/19/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182149"", ""K182149"")","FFRangio System","CathWorks Ltd","Cardiovascular","QEK"
"136","12/20/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181861"", ""K181861"")","Embrace","Empatica Srl","Neurology","POS"
"137","12/21/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183012"", ""K183012"")","VascuCAP","Elucid Bioimaging Inc.","Radiology","LLZ"
"138","12/27/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182130"", ""K182130"")","ISchemaView RAPID","ISchemaView, Inc.","Radiology","LLZ"
"139","12/27/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182564"", ""K182564"")","Quantib ND","Quantib BV","Radiology","LLZ"
"140","12/28/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN170091"", ""DEN170091"")","EyeBOX","Oculogica, Inc.","Neurology","QEA"
"141","12/28/2018","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K180867"", ""K180867"")","AmCAD-UO","AmCad BioMed Corporation","Radiology","LLZ"
"142","01/09/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183133"", ""K183133"")","MRCP+ V1.0","Perspectum Diagnostics Ltd","Radiology","LLZ"
"143","01/17/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182456"", ""K182456"")","Study Watch","Verily Life Sciences Llc","Cardiovascular","DXH"
"144","01/18/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183231"", ""K183231"")","SIGNA Premier","GE Medical Systems, LLC","Radiology","LNH"
"145","02/01/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183272"", ""K183272"")","AI Rad Companion (Engine)","Siemens Medical Solutions USA, Inc.","Radiology","LLZ"
"146","02/04/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181916"", ""K181916"")","D-Nav System","Hygieia, Inc","General Hospital","NDC"
"147","02/16/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183704"", ""K183704"")","Rx-1 Rhythm Express Remote Cardiac Monitoring System","Vivaquant Inc.","Cardiovascular","DXH"
"148","03/07/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182344"", ""K182344"")","RhythmAnalytics","Biofourmis Singapore Pte. Ltd.","Cardiovascular","DQK"
"149","03/08/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183285"", ""K183285"")","Cmtriage","Curemetrix, Inc","Radiology","QFM"
"150","03/11/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181823"", ""K181823"")","KardiaAI","AliveCor, Inc.","Cardiovascular","DQK"
"151","03/19/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183019"", ""K183019"")","SIS Software Version 3.3.0","Surgical Information Sciences, Inc.","Radiology","LLZ"
"152","03/29/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181352"", ""K181352"")","Loop System","Spry Health, Inc.","Cardiovascular","DQA"
"153","04/08/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183204"", ""K183204"")","Bone VCAR (BVCAR)","GE Medical Systems SCS","Radiology","JAK"
"154","04/12/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183202"", ""K183202"")","Deep Learning Image Reconstruction","GE Medical Systems, LLC","Radiology","JAK"
"155","04/15/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190072"", ""K190072"")","Briefcase","Aidoc Medical, Ltd.","Radiology","QAS"
"156","04/17/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K181988"", ""K181988"")","EMurmur ID","CSD Labs GmbH","Cardiovascular","DQD"
"157","04/18/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183593"", ""K183593"")","Lung Vision System","Body Vision Medical Ltd.","Radiology","LLZ"
"158","04/22/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182513"", ""K182513"")","FluChip-8G Influenza A+B Assay","InDevR, Inc.","Microbiology","OZE"
"159","05/06/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190362"", ""K190362"")","HealthPNX","Zebra Medical Vision Ltd.","Radiology","QFM"
"160","05/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190764"", ""K190764"")","SurgicalAR","MEDIVIS, Inc.","Radiology","LLZ"
"161","05/15/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183648"", ""K183648"")","APAS Independence with Urine Analysis Module","Clever Culture Systems AG","Microbiology","PPU"
"162","05/21/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183646"", ""K183646"")","Acumen Hypotension Prediction Index - EV1000 Clinical Platform, Acumen Hypotension Prediction Index - Hemosphere Advanced Monitoring Platform, Acumen Hypotension Prediction Index, Hemosphere Advanced Monitoring Platform - Pressure","Edwards Lifeciences, LLC","Cardiovascular","QAQ"
"163","05/24/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191083"", ""K191083"")","COMPLETE CONTROL System Gen2","Coapt, LLC","Neurology","GXY"
"164","05/31/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190896"", ""K190896"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"165","06/12/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183046"", ""K183046"")","Aquilion ONE (TSX-305A/6) V8.9 With AiCE","Canon Medical Systems Corporation","Radiology","JAK"
"166","06/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183460"", ""K183460"")","ClariCT AI","ClariPI Inc.","Radiology","LLZ"
"167","06/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190424"", ""K190424"")","Healthich","Zebra Medical Vision Ltd.","Radiology","QAS"
"168","06/19/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190387"", ""K190387"")","Raystation","Raysearch Laboratories Ab (Publ)","Radiology","MUJ"
"169","06/25/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191194"", ""K191194"")","CLARUS","Carl Zeiss Meditec, Inc","Ophthalmic","QER"
"170","06/27/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190017"", ""K190017"")","Livermultiscan (LMSv3)","Perspectum Diagnostics Ltd","Radiology","LNH"
"171","07/03/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190442"", ""K190442"")","Koios DS For Breast","Koios Medical, Inc.","Radiology","POK"
"172","07/05/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182901"", ""K182901"")","Aquilion Precision (TSX-304A/1 And /2) V8.8 With AiCE","Canon Medical Systems Corporation","Radiology","JAK"
"173","07/08/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191384"", ""K191384"")","RayCare 2.3","RaySearch Laboratories AB (Publ)","Radiology","MUJ"
"174","07/10/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182875"", ""K182875"")","DeepCT","Deep01 Limited","Radiology","QAS"
"175","07/10/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183322"", ""K183322"")","PhysIQ Heart Rhythm and Respiratory Module","PhysIQ, Inc","Cardiovascular","DPS"
"176","07/12/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191585"", ""K191585"")","INtuition-Structural Heart Module","TeraRecon Inc.","Radiology","LLZ"
"177","07/18/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191370"", ""K191370"")","DreaMed Advisor Pro","DreaMed Diabetes Ltd","Clinical Chemistry","QCC"
"178","07/19/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182798"", ""K182798"")","KIDScore D3","Vitrolife A/S","Obstetrics and Gynecology","PBH"
"179","07/26/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K182384"", ""K182384"")","ACR | LAB Urine Analysis Test System","Healthy.Io Ltd","Clinical Chemistry","JFY"
"180","07/26/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183271"", ""K183271"")","AI-Rad Companion (Pulmonary)","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"181","07/31/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191183"", ""K191183"")","EyeBOX","Oculogica, Inc.","Neurology","QEA"
"182","08/05/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191262"", ""K191262"")","ABSI","EXINI Diagnostics AB","Radiology","LLZ"
"183","08/12/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183182"", ""K183182"")","Critical Care Suite","GE Medical Systems, LLC","Radiology","QFM"
"184","08/15/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183282"", ""K183282"")","Biovitals Analytics Engine","Biofourmis Singapore Pte. Ltd","Cardiovascular","PLB"
"185","08/15/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190925"", ""K190925"")","HeartfFow FFRct Analysis","HeartFlow, Inc.","Cardiovascular","PJA"
"186","08/23/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190593"", ""K190593"")","Zio XT ECG Monitoring System, Zio AT ECG Monitoring System","iRhythm Technologies, Inc.","Cardiovascular","DQK"
"187","08/29/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183489"", ""K183489"")","D2P","3D Systems, Inc.","Radiology","LLZ"
"188","08/29/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192107"", ""K192107"")","Clarius Ultrasound Scanner","Clarius Mobile Health Corp.","Radiology","IYN"
"189","09/04/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191179"", ""K191179"")","Myo Plus","Otto Bock Healthcare Products GmbH","Neurology","GXY"
"190","09/10/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183268"", ""K183268"")","AI-Rad Companion (Cardiovascular)","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"191","09/11/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183370"", ""K183370"")","PeraMobile and PeraWatch","PeraHealth, Inc.","Cardiovascular","MWI"
"192","09/11/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190815"", ""K190815"")","Brainscope TBI","BrainScope Company, Inc.","Neurology","PIW"
"193","09/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192304"", ""K192304"")","SIS Software Version 3.6.0","Surgical Information Sciences, Inc.","Radiology","LLZ"
"194","09/16/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191688"", ""K191688"")","SubtleMR","Subtle Medical Inc.","Radiology","LLZ"
"195","09/18/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192065"", ""K192065"")","Syngo.Via RT Image Suite","Siemens Medical Solutions USA, Inc.","Radiology","MUJ"
"196","10/04/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191713"", ""K191713"")","CS-Series-FP Radiographic / Fluoroscopic Systems With Optional CA-100S / FluoroShield¿ (ROI Assembly)","Omega Medical Imaging, LLC","Radiology","JAA"
"197","10/04/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191994"", ""K191994"")","ProFound AI Software V2.1","ICAD Inc.","Radiology","QDQ"
"198","10/16/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191493"", ""K191493"")","Ventripoint Medical System Plus (VMS+) 3.0","Ventripoint Diagnostics Ltd.","Radiology","LLZ"
"199","10/17/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192455"", ""K192455"")","Merge PACS","Merge Healthcare Incorporated","Radiology","LLZ"
"200","10/18/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183274"", ""K183274"")","RTHawk, HeartVista Cardiac Package","HeartVista, Inc.","Radiology","LNH"
"201","11/01/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190334"", ""K190334"")","MIMOSA Imager","MIMOSA Diagnostics Inc.","General and Plastic Surgery","MUD"
"202","11/01/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190898"", ""K190898"")","Sight OLO","Sight Diagnostics Ltd.","Hematology","GKZ"
"203","11/04/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190013"", ""K190013"")","WellDoc BlueStar","WellDoc, Inc","General Hospital","MRZ"
"204","11/05/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190868"", ""K190868"")","Cleerly Labs","Cleerly Inc","Radiology","LLZ"
"205","11/05/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192109"", ""K192109"")","Koala","IB Lab Gmbh","Radiology","LLZ"
"206","11/07/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191026"", ""K191026"")","MEDIP PRO","MEDICAL IP Co., Ltd.","Radiology","LLZ"
"207","11/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191171"", ""K191171"")","EchoGo Core","Ultromics Ltd.","Radiology","QIH"
"208","11/19/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191278"", ""K191278"")","RSI-MRI+","Multimodal Imaging Services Corporation (Dba HealthLytix)","Radiology","LLZ"
"209","11/25/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K190529"", ""K190529"")","SOZO","ImpediMed Limited","Gastroenterology-Urology","QJB"
"210","11/26/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192320"", ""K192320"")","HealthCXR","Zebra Medical Vision Ltd.","Radiology","QFM"
"211","11/27/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192945"", ""K192945"")","7D Surgical System Cranial Biopsy and Ventricular Catheter Placement Application","7D Surgical Inc.","Neurology","HAW"
"212","12/07/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192279"", ""K192279"")","PhantomMSK Trauma","OrthoGrid Systems Inc.","Radiology","LLZ"
"213","12/09/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192442"", ""K192442"")","FFRangio","CathWorks Ltd","Cardiovascular","QEK"
"214","12/10/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192287"", ""K192287"")","Transpara","Screenpoint Medical B.V.","Radiology","QDQ"
"215","12/11/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192571"", ""K192571"")","NemoScan","Software Nemotec S.L.","Radiology","LLZ"
"216","12/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192531"", ""K192531"")","QyScore Software","Qynapse","Radiology","LLZ"
"217","12/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193170"", ""K193170"")","Deep Learning Image Reconstruction","GE Healthcare Japan Corporation","Radiology","JAK"
"218","12/13/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192130"", ""K192130"")","icobrain","icometrix NV","Radiology","LLZ"
"219","12/17/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192763"", ""K192763"")","Syngo.CT CaScoring","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"220","12/20/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191647"", ""K191647"")","Qlab Advanced Quantification Software","Philips Healthcare","Radiology","QIH"
"221","12/20/2019","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192383"", ""K192383"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"222","01/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K183089"", ""K183089"")","Air Next","NuvoAir AB","Anesthesiology","BZG"
"223","01/15/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191125"", ""K191125"")","ADAS 3D","Galgo Medical S.L","Radiology","LLZ"
"224","01/15/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192004"", ""K192004"")","Eko Analysis Software","Eko Devices Inc","Cardiovascular","MWI"
"225","01/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192956"", ""K192956"")","Auto Positioning","GE Hangwei Medical Systems, Co., Ltd.","Radiology","JAK"
"226","01/17/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192415"", ""K192415"")","Study Watch with Irregular Pulse Monitor","Verily Life Sciences LLC","Cardiovascular","DXH"
"227","01/24/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193109"", ""K193109"")","MRCAT Brain","Philips Medical Systems MR Finland","Radiology","MUJ"
"228","02/07/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN190040"", ""DEN190040"")","Caption Guidance","Bay Labs, Inc.","Radiology","QJU"
"229","02/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192377"", ""K192377"")","Ethos Treatment Management, Ethos Treatment Planning, Ethos Radiotherapy System, Halcyon","Varian Medical Systems, Inc.","Radiology","IYE"
"230","02/12/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193178"", ""K193178"")","Biograph Horizon PET/CT","Siemens Medical Solution USA, Inc.","Radiology","KPS"
"231","02/13/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192828"", ""K192828"")","Aquilion ONE (TSX-306A/3) V10.0 With Spectral Imaging System","Canon Medical Systems Corporation","Radiology","JAK"
"232","02/14/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193248"", ""K193248"")","Biograph Vision, Biograph MCT Family Of PET/CTs","Siemens Medical Solutions USA, Inc.","Radiology","KPS"
"233","02/19/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192973"", ""K192973"")","Densitas Densityai","Densitas, Inc.","Radiology","LLZ"
"234","02/21/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192832"", ""K192832"")","Aquilion Prime SP (TSX-303B8) V10.2 with AiCE-I","Canon Medical Systems Corporation","Radiology","JAK"
"235","02/28/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191556"", ""K191556"")","Red Dot","Behold.AI Technologies Limited","Radiology","QFM"
"236","02/28/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191928"", ""K191928"")","AccuContour","Xiamen Manteia Technology Ltd.","Radiology","QKB"
"237","02/28/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192962"", ""K192962"")","icobrain-ctp","icometrix NV","Radiology","LLZ"
"238","03/04/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K191550"", ""K191550"")","Broncholab","Fluidda Inc.","Radiology","JAK"
"239","03/05/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193229"", ""K193229"")","Transpara","Screenpoint Medical B.V.","Radiology","QDQ"
